Nb global unknowns: 14064774
-----------------
grep "^|"  period.5469909.4294967294.out
| Total time   | Avg Time     |  Min time    |  Max time    | Calls  | Section
|  178604.7471 |  178604.7471 |  178604.7471 |  178604.7471 |     1  | 0_total
|       0.0640 |       0.0640 |       0.0640 |       0.0640 |     1  |   1_initialize
|      13.1509 |      13.1509 |      13.1509 |      13.1509 |     1  |   2_read_mesh
|     381.9629 |     381.9629 |     381.9629 |     381.9629 |     1  |   3_refine_mesh
|       0.0010 |       0.0010 |       0.0010 |       0.0010 |     1  |     3.1_sequential
|     381.9270 |     381.9270 |     381.9270 |     381.9270 |     1  |     3.2_parallel
|   53791.2061 |   53791.2061 |   53791.2061 |   53791.2061 |     1  |   4_initialize_fem
|     279.4241 |     279.4241 |     279.4241 |     279.4241 |     1  |     4.1_define_system_components
|   53511.7539 |   53511.7539 |   53511.7539 |   53511.7539 |     1  |     4.2_assembly
|  117395.2061 |  117395.2061 |  117395.2061 |  117395.2061 |     1  |   5_solve_linear_system
|    7023.1140 |    7023.1140 |    7023.1140 |    7023.1140 |     1  |   6_postprocess
| Total time   | Avg Time     |  Min time    |  Max time    | Calls  | Section
|  185940.8459 |  185940.8459 |  185940.8459 |  185940.8459 |     1  | 0_total
|       0.0610 |       0.0610 |       0.0610 |       0.0610 |     1  |   1_initialize
|      42.6021 |      42.6021 |      42.6021 |      42.6021 |     1  |   2_read_mesh
|     312.9929 |     312.9929 |     312.9929 |     312.9929 |     1  |   3_refine_mesh
|    1237.8999 |    1237.8999 |    1237.8999 |    1237.8999 |     1  |   4_initialize_fem
|  179086.0349 |  179086.0349 |  179086.0349 |  179086.0349 |     1  |   5_solve
|       0.0032 |       0.0032 |       0.0032 |       0.0032 |     1  |     5A.1_NewtonProcessNewState
|    2582.6230 |    2582.6230 |    2582.6230 |    2582.6230 |     1  |     5A.2_NewtonFirstIteration
|       0.1609 |       0.0804 |       0.0391 |       0.1218 |     2  |     5A.3_NewtonIterMonitor
|   41375.4490 |   41375.4490 |   41375.4490 |   41375.4490 |     1  |     5A.4_NewtonIterGetGradient
|  132400.7048 |  132400.7048 |  132400.7048 |  132400.7048 |     1  |     5A.5_NewtonIterFirstMult
|    2727.0398 |    2727.0398 |    2727.0398 |    2727.0398 |     1  |     5A.6_NewtonIterSecondMult
|    5261.1921 |    5261.1921 |    5261.1921 |    5261.1921 |     1  |   6_postprocess
| Total time   | Avg Time     |  Min time    |  Max time    | Calls  | Section
|  188293.5999 |  188293.5999 |  188293.5999 |  188293.5999 |     1  | 0_total
|       0.0769 |       0.0769 |       0.0769 |       0.0769 |     1  |   1_initialize
|      45.1528 |      45.1528 |      45.1528 |      45.1528 |     1  |   2_read_mesh
|     309.8281 |     309.8281 |     309.8281 |     309.8281 |     1  |   3_refine_mesh
|    1234.7332 |    1234.7332 |    1234.7332 |    1234.7332 |     1  |   4_initialize_fem
|  180938.4819 |  180938.4819 |  180938.4819 |  180938.4819 |     1  |   5_solve
|       0.0042 |       0.0042 |       0.0042 |       0.0042 |     1  |     5A.1_NewtonProcessNewState
|    2646.2581 |    2646.2581 |    2646.2581 |    2646.2581 |     1  |     5A.2_NewtonFirstIteration
|       0.1370 |       0.0685 |       0.0420 |       0.0950 |     2  |     5A.3_NewtonIterMonitor
|   41653.3760 |   41653.3760 |   41653.3760 |   41653.3760 |     1  |     5A.4_NewtonIterGetGradient
|  133874.5591 |  133874.5591 |  133874.5591 |  133874.5591 |     1  |     5A.5_NewtonIterFirstMult
|    2764.0972 |    2764.0972 |    2764.0972 |    2764.0972 |     1  |     5A.6_NewtonIterSecondMult
|    5093.1021 |    5093.1021 |    5093.1021 |    5093.1021 |     1  |   6_postprocess
| Total time   | Avg Time     |  Min time    |  Max time    | Calls  | Section
|  166908.7410 |  166908.7410 |  166908.7410 |  166908.7410 |     1  | 0_total
|       0.0869 |       0.0869 |       0.0869 |       0.0869 |     1  |   1_initialize
|      43.3689 |      43.3689 |      43.3689 |      43.3689 |     1  |   2_read_mesh
|     305.2839 |     305.2839 |     305.2839 |     305.2839 |     1  |   3_refine_mesh
|     228.3750 |     228.3750 |     228.3750 |     228.3750 |     1  |   4_initialize_fem
|  160547.0271 |  160547.0271 |  160547.0271 |  160547.0271 |     1  |   5_solve
|       0.0020 |       0.0020 |       0.0020 |       0.0020 |     1  |     5A.1_NewtonProcessNewState
|     586.7590 |     586.7590 |     586.7590 |     586.7590 |     1  |     5A.2_NewtonFirstIteration
|       0.1301 |       0.0651 |       0.0410 |       0.0891 |     2  |     5A.3_NewtonIterMonitor
|   39609.9011 |   39609.9011 |   39609.9011 |   39609.9011 |     1  |     5A.4_NewtonIterGetGradient
|  119758.6318 |  119758.6318 |  119758.6318 |  119758.6318 |     1  |     5A.5_NewtonIterFirstMult
|     591.5591 |     591.5591 |     591.5591 |     591.5591 |     1  |     5A.6_NewtonIterSecondMult
|    5435.5449 |    5435.5449 |    5435.5449 |    5435.5449 |     1  |   6_postprocess
grep "^|"  period.5470303.4294967294.out
| Total time   | Avg Time     |  Min time    |  Max time    | Calls  | Section
|   79226.1831 |   79226.1831 |   79226.1831 |   79226.1831 |     1  | 0_total
|       0.0671 |       0.0671 |       0.0671 |       0.0671 |     1  |   1_initialize
|       9.9119 |       9.9119 |       9.9119 |       9.9119 |     1  |   2_read_mesh
|     186.3372 |     186.3372 |     186.3372 |     186.3372 |     1  |   3_refine_mesh
|       0.0000 |       0.0000 |       0.0000 |       0.0000 |     1  |     3.1_sequential
|     186.3308 |     186.3308 |     186.3308 |     186.3308 |     1  |     3.2_parallel
|   15022.7781 |   15022.7781 |   15022.7781 |   15022.7781 |     1  |   4_initialize_fem
|     110.8101 |     110.8101 |     110.8101 |     110.8101 |     1  |     4.1_define_system_components
|   14911.9521 |   14911.9521 |   14911.9521 |   14911.9521 |     1  |     4.2_assembly
|   59934.1909 |   59934.1909 |   59934.1909 |   59934.1909 |     1  |   5_solve_linear_system
|    4072.8450 |    4072.8450 |    4072.8450 |    4072.8450 |     1  |   6_postprocess
| Total time   | Avg Time     |  Min time    |  Max time    | Calls  | Section
|   91648.3269 |   91648.3269 |   91648.3269 |   91648.3269 |     1  | 0_total
|       0.0640 |       0.0640 |       0.0640 |       0.0640 |     1  |   1_initialize
|      54.2000 |      54.2000 |      54.2000 |      54.2000 |     1  |   2_read_mesh
|     139.3970 |     139.3970 |     139.3970 |     139.3970 |     1  |   3_refine_mesh
|     636.4790 |     636.4790 |     636.4790 |     636.4790 |     1  |   4_initialize_fem
|   87919.0671 |   87919.0671 |   87919.0671 |   87919.0671 |     1  |   5_solve
|       0.0029 |       0.0029 |       0.0029 |       0.0029 |     1  |     5A.1_NewtonProcessNewState
|    1352.5081 |    1352.5081 |    1352.5081 |    1352.5081 |     1  |     5A.2_NewtonFirstIteration
|       0.1094 |       0.0547 |       0.0322 |       0.0771 |     2  |     5A.3_NewtonIterMonitor
|   16417.4360 |   16417.4360 |   16417.4360 |   16417.4360 |     1  |     5A.4_NewtonIterGetGradient
|   68619.1340 |   68619.1340 |   68619.1340 |   68619.1340 |     1  |     5A.5_NewtonIterFirstMult
|    1529.8401 |    1529.8401 |    1529.8401 |    1529.8401 |     1  |     5A.6_NewtonIterSecondMult
|    2899.0811 |    2899.0811 |    2899.0811 |    2899.0811 |     1  |   6_postprocess
| Total time   | Avg Time     |  Min time    |  Max time    | Calls  | Section
|   90371.6470 |   90371.6470 |   90371.6470 |   90371.6470 |     1  | 0_total
|       0.1960 |       0.1960 |       0.1960 |       0.1960 |     1  |   1_initialize
|      52.3860 |      52.3860 |      52.3860 |      52.3860 |     1  |   2_read_mesh
|     137.7939 |     137.7939 |     137.7939 |     137.7939 |     1  |   3_refine_mesh
|     622.9092 |     622.9092 |     622.9092 |     622.9092 |     1  |   4_initialize_fem
|   86022.9121 |   86022.9121 |   86022.9121 |   86022.9121 |     1  |   5_solve
|       0.0032 |       0.0032 |       0.0032 |       0.0032 |     1  |     5A.1_NewtonProcessNewState
|    1277.3699 |    1277.3699 |    1277.3699 |    1277.3699 |     1  |     5A.2_NewtonFirstIteration
|       0.1191 |       0.0596 |       0.0371 |       0.0820 |     2  |     5A.3_NewtonIterMonitor
|   17015.8569 |   17015.8569 |   17015.8569 |   17015.8569 |     1  |     5A.4_NewtonIterGetGradient
|   66261.8481 |   66261.8481 |   66261.8481 |   66261.8481 |     1  |     5A.5_NewtonIterFirstMult
|    1467.6731 |    1467.6731 |    1467.6731 |    1467.6731 |     1  |     5A.6_NewtonIterSecondMult
|    3393.1719 |    3393.1719 |    3393.1719 |    3393.1719 |     1  |   6_postprocess
| Total time   | Avg Time     |  Min time    |  Max time    | Calls  | Section
|   79911.8811 |   79911.8811 |   79911.8811 |   79911.8811 |     1  | 0_total
|       0.0781 |       0.0781 |       0.0781 |       0.0781 |     1  |   1_initialize
|      92.7930 |      92.7930 |      92.7930 |      92.7930 |     1  |   2_read_mesh
|     157.1240 |     157.1240 |     157.1240 |     157.1240 |     1  |   3_refine_mesh
|      92.7471 |      92.7471 |      92.7471 |      92.7471 |     1  |   4_initialize_fem
|   76187.5210 |   76187.5210 |   76187.5210 |   76187.5210 |     1  |   5_solve
|       0.0020 |       0.0020 |       0.0020 |       0.0020 |     1  |     5A.1_NewtonProcessNewState
|     275.5190 |     275.5190 |     275.5190 |     275.5190 |     1  |     5A.2_NewtonFirstIteration
|       0.1050 |       0.0525 |       0.0381 |       0.0669 |     2  |     5A.3_NewtonIterMonitor
|   16062.2300 |   16062.2300 |   16062.2300 |   16062.2300 |     1  |     5A.4_NewtonIterGetGradient
|   59563.4148 |   59563.4148 |   59563.4148 |   59563.4148 |     1  |     5A.5_NewtonIterFirstMult
|     286.2151 |     286.2151 |     286.2151 |     286.2151 |     1  |     5A.6_NewtonIterSecondMult
|    3324.0339 |    3324.0339 |    3324.0339 |    3324.0339 |     1  |   6_postprocess
grep "^|"  period.5469907.4294967294.out
| Total time   | Avg Time     |  Min time    |  Max time    | Calls  | Section
|   41951.7212 |   41951.7212 |   41951.7212 |   41951.7212 |     1  | 0_total
|       0.0649 |       0.0649 |       0.0649 |       0.0649 |     1  |   1_initialize
|      12.1130 |      12.1130 |      12.1130 |      12.1130 |     1  |   2_read_mesh
|     136.3850 |     136.3850 |     136.3850 |     136.3850 |     1  |   3_refine_mesh
|       0.0012 |       0.0012 |       0.0012 |       0.0012 |     1  |     3.1_sequential
|     136.3569 |     136.3569 |     136.3569 |     136.3569 |     1  |     3.2_parallel
|    6874.2639 |    6874.2639 |    6874.2639 |    6874.2639 |     1  |   4_initialize_fem
|      51.4639 |      51.4639 |      51.4639 |      51.4639 |     1  |     4.1_define_system_components
|    6822.7859 |    6822.7859 |    6822.7859 |    6822.7859 |     1  |     4.2_assembly
|   32724.6470 |   32724.6470 |   32724.6470 |   32724.6470 |     1  |   5_solve_linear_system
|    2204.1970 |    2204.1970 |    2204.1970 |    2204.1970 |     1  |   6_postprocess
| Total time   | Avg Time     |  Min time    |  Max time    | Calls  | Section
|   44016.3240 |   44016.3240 |   44016.3240 |   44016.3240 |     1  | 0_total
|       0.0649 |       0.0649 |       0.0649 |       0.0649 |     1  |   1_initialize
|      69.7891 |      69.7891 |      69.7891 |      69.7891 |     1  |   2_read_mesh
|      70.8950 |      70.8950 |      70.8950 |      70.8950 |     1  |   3_refine_mesh
